datevec,Sea,Temp,IceSAt,IceSAtmas1,IceSAtmas2
1921m3,-103.9,-.17,11947604,12011345,12049385
1921m4,-102.5,-.19,12011345,12049385,12009973
1921m5,-100.5,-.23,12049385,12009973,11713520
1921m6,-101.9,-.17,12009973,11713520,11636134
1921m7,-103.5,-.03,11713520,11636134,11854132
1921m8,-109.7,-.29,11636134,11854132,11903424
1921m9,-112.6,-.22,11854132,11903424,11973869
1921m10,-111.5,-.11,11903424,11973869,11987142
1921m11,-112,-.19,11973869,11987142,11962103
1921m12,-107.8,-.2,11987142,11962103,11921287
1922m1,-109.4,-.33,11962103,11921287,11934164
1922m2,-105.1,-.39,11921287,11934164,11886881
1922m3,-106.4,-.22,11934164,11886881,11814049
1922m4,-105.4,-.28,11886881,11814049,11781680
1922m5,-104.3,-.33,11814049,11781680,11669983
1922m6,-104.6,-.28,11781680,11669983,11710566
1922m7,-109.7,-.18,11669983,11710566,11748083
1922m8,-113.1,-.29,11710566,11748083,11923741
1922m9,-114.8,-.33,11748083,11923741,11941089
1922m10,-110.9,-.28,11923741,11941089,11959625
1922m11,-105,-.19,11941089,11959625,11309179
1922m12,-101.6,-.22,11959625,11309179,11741492
1923m1,-103,-.27,11309179,11741492,11674581
1923m2,-107.6,-.29,11741492,11674581,11629280
1923m3,-106.3,-.26,11674581,11629280,11827002
1923m4,-102,-.39,11629280,11827002,11969909
1923m5,-97.7,-.39,11827002,11969909,11977586
1923m6,-100.3,-.25,11969909,11977586,11604394
1923m7,-105.9,-.3,11977586,11604394,11665186
1923m8,-108.9,-.33,11604394,11665186,11790614
1923m9,-108.9,-.29,11665186,11790614,11857854
1923m10,-108.1,-.11,11790614,11857854,11838986
1923m11,-112.3,0,11857854,11838986,11882734
1923m12,-115.1,-.05,11838986,11882734,11884230
1924m1,-116.4,-.24,11882734,11884230,11813779
1924m2,-111.1,-.27,11884230,11813779,12037463
1924m3,-111.8,-.12,11813779,12037463,11949083
1924m4,-110.2,-.35,12037463,11949083,11934414
1924m5,-113.6,-.25,11949083,11934414,11408895
1924m6,-113.7,-.24,11934414,11408895,11841053
